dt,open,high,low,close,volume,value
2022-08-19 03:38:00,23266.7,23275.5,23266.7,23270.2,137.715,3204597.0641249996
2022-08-19 03:39:00,23270.1,23275.5,23266.0,23269.2,94.434,2197498.0668
2022-08-19 03:40:00,23269.2,23271.2,23269.2,23271.1,77.976,1814515.1658000003
2022-08-19 03:41:00,23271.2,23281.4,23271.1,23276.9,126.58,2946168.487
2022-08-19 03:42:00,23276.9,23297.3,23275.1,23275.1,282.078,6567086.125799999
2022-08-19 03:43:00,23275.2,23278.5,23269.5,23270.1,109.086,2538793.9309499995
2022-08-19 03:44:00,23270.2,23270.2,23256.0,23261.4,152.254,3542105.5702999993
2022-08-19 03:45:00,23261.5,23269.2,23258.3,23259.1,162.125,3771355.803125
2022-08-19 03:46:00,23259.0,23259.1,23232.6,23235.3,459.478,10681255.327
2022-08-19 03:47:00,23235.4,23263.6,23235.3,23258.6,400.421,9309077.502725
2022-08-19 03:48:00,23258.6,23259.4,23250.0,23254.9,142.018,3302731.5530499998
2022-08-19 03:49:00,23254.9,23269.0,23254.9,23264.0,200.294,4658978.6458
2022-08-19 03:50:00,23264.0,23264.0,23260.0,23263.6,93.514,2175406.8306
2022-08-19 03:51:00,23263.7,23268.9,23257.0,23268.9,131.899,3068580.772875
2022-08-19 03:52:00,23268.8,23285.5,23268.0,23285.3,207.363,4826767.8147
2022-08-19 03:53:00,23285.3,23297.4,23280.6,23290.8,340.603,7932141.480574999
2022-08-19 03:54:00,23290.8,23308.3,23290.8,23302.6,253.681,5910291.648125
2022-08-19 03:55:00,23302.7,23321.5,23300.0,23313.9,383.256,8933515.3134
2022-08-19 03:56:00,23314.0,23365.2,23313.4,23335.0,1287.083,30030091.847700004
2022-08-19 03:57:00,23335.0,23339.9,23328.2,23328.2,256.216,5978243.0902
2022-08-19 03:58:00,23328.2,23328.3,23314.7,23318.7,308.116,7186027.707099999
2022-08-19 03:59:00,23318.7,23318.8,23301.4,23307.2,403.5,9406200.337499999
2022-08-19 04:00:00,23307.3,23315.7,23296.0,23302.3,372.518,8681653.05835
2022-08-19 04:01:00,23302.4,23322.1,23300.5,23320.6,160.049,3730966.2586000003
2022-08-19 04:02:00,23320.6,23332.9,23320.5,23332.9,239.389,5584161.371025
2022-08-19 04:03:00,23332.9,23347.0,23332.8,23340.3,325.711,7601524.745750001
2022-08-19 04:04:00,23340.2,23340.3,23329.4,23332.7,309.159,7214426.218349999
2022-08-19 04:05:00,23332.7,23338.8,23332.7,23337.4,87.892,2050994.9768
2022-08-19 04:06:00,23337.4,23339.8,23312.3,23324.2,227.15,5299051.73875
2022-08-19 04:07:00,23324.2,23330.0,23322.0,23329.5,130.21,3037333.79925
2022-08-19 04:08:00,23329.4,23332.0,23316.8,23325.8,120.457,2809779.982
2022-08-19 04:09:00,23325.9,23345.9,23325.8,23342.5,158.547,3699698.2086750004
